name,2dumap1,2dumap2,3dumap1,3dumap2,3dumap3
GRB131231198,8.783872,3.159398,9.29305,3.6635134,2.9357333
GRB140102887,9.378054,7.3155627,8.885238,6.9442177,6.274381
GRB140104731,8.976085,2.3747594,9.106091,2.9035707,3.4109235
GRB140105065,4.9091487,6.337873,5.0961366,6.515828,2.430182
GRB140105748,6.6999974,7.6285367,6.9464383,7.6039076,3.0729654
GRB140106345,9.362818,4.8770566,9.228127,4.9679246,4.7081966
GRB140108721,10.263046,4.0846376,9.227474,3.663378,5.238015
GRB140109771,4.8440366,5.720433,5.1149755,6.018621,2.9400377
GRB140110263,9.825174,6.3364444,9.262502,5.918096,5.800167
GRB140110411,5.2480597,5.6234207,5.4763393,5.977183,3.1446276
GRB140110814,7.631062,6.408559,8.324399,6.623366,3.713252
GRB140112060,10.05882,5.3792963,9.589502,5.1709476,5.288627
GRB140113183,9.269591,5.34004,9.70579,5.440275,4.497787
GRB140113624,7.2233515,6.988646,7.6068864,7.059788,3.6555936
GRB140115863,10.475581,3.8551896,9.479987,3.4123015,4.956758
GRB140118064,9.048559,5.1651797,9.707871,5.344227,4.2585254
GRB140122597,7.6499095,6.5569596,7.8263283,6.6574383,4.214275
GRB140124527,8.555854,4.0701265,8.685716,4.1161885,3.945819
GRB140126815,10.343154,3.2035124,9.736206,3.2418804,4.5167284
GRB140129499,2.6583347,3.0026777,2.0496957,1.9893419,7.4722037
GRB140204547,10.024573,3.043691,9.599344,3.445679,4.130938
GRB140206275,8.116436,2.5160809,8.507846,2.773497,3.4825628
GRB140206304,9.982829,3.6421602,9.014093,3.1606255,5.110485
GRB140209313,9.446688,7.924386,8.808548,7.562609,6.9972577
GRB140211091,7.309439,7.0632653,7.738078,7.1768594,3.6624205
GRB140213807,9.496216,7.4956007,8.907332,7.102375,6.5630145
GRB140216331,7.423803,7.0383244,7.7121754,7.11721,3.8748767
GRB140217043,9.458782,6.3898773,9.059721,6.089164,5.4938927
GRB140218427,9.473785,2.9044676,9.460587,3.3528006,3.710232
GRB140219824,8.079944,6.290908,8.482019,6.44545,4.1888165
GRB140223495,10.154747,5.5899453,9.439007,5.1570926,5.5468364
GRB140224382,7.2295437,7.447416,7.4882746,7.456323,3.5127497
GRB140224788,10.494884,4.7777767,9.716184,4.398633,5.405356
GRB140227738,8.33527,5.6483903,8.651312,5.8124366,4.3188376
GRB140302342,9.751509,2.56399,9.891037,3.1605473,3.475592
GRB140304557,8.804685,4.7770205,9.633559,4.926402,3.9818003
GRB140304849,9.216846,3.9757085,9.384459,4.1642413,4.005988
GRB140306146,10.187405,6.1071315,9.07052,5.288849,5.988025
GRB140308710,9.39432,7.0265055,9.005131,6.758936,6.1036086
GRB140311453,9.258894,6.034031,8.667646,5.5510283,5.1185145
GRB140311618,8.404135,7.623528,8.5198145,7.5137753,5.5941687
GRB140311885,9.812576,4.29922,9.351077,3.9201488,4.769519
GRB140319964,8.366757,2.7309911,8.7945175,3.0386145,3.573369
GRB140320092,4.5655327,5.393611,4.4438505,5.232637,3.6110141
GRB140322424,9.974657,5.713109,8.916253,5.2498713,5.470794
GRB140323433,8.318545,3.3079994,8.9003725,3.757038,3.0667186
GRB140327065,8.94764,6.122389,9.219049,6.1915903,4.720325
GRB140328560,8.180712,6.6677732,8.685394,6.730166,4.238182
GRB140329272,2.769724,3.1403832,2.093247,2.062086,7.374285
GRB140329295,7.6926284,4.819444,8.065643,5.0283313,3.3988564
GRB140330180,9.426739,4.8898945,9.523588,4.9558096,4.555653
GRB140402007,3.2804117,4.3894567,3.4910736,4.5473003,4.2127247
GRB140404030,8.421136,6.2454405,8.810658,6.325627,4.3898487
GRB140404171,9.390611,2.1333237,9.439383,2.635782,3.4836226
GRB140404900,10.492849,3.8431401,9.555461,3.4907796,5.0293007
GRB140405033,9.270589,6.14427,9.293848,6.0440617,5.083924
GRB140406120,8.371862,4.519076,8.566574,4.610707,4.0262265
GRB140406144,8.916118,4.031449,9.59767,4.3117323,3.5994315
GRB140408553,8.530181,5.7554703,8.718128,5.848409,4.4988995
GRB140414693,10.56009,4.093437,9.635861,3.7803173,5.150831
GRB140416060,9.691749,3.4999442,8.940694,3.116874,5.083341
GRB140422194,10.3961525,3.3773983,9.974705,3.7748187,4.499465
GRB140423356,10.24033,2.6122081,9.66257,2.7134986,4.157429
GRB140426515,10.434656,3.5054157,10.051497,4.1123433,4.439458
GRB140427702,7.5554404,6.4649925,7.8420053,6.6097445,4.1383104
GRB140428906,2.587769,3.524842,2.6999178,3.4391954,5.5041203
GRB140429975,8.945568,5.371119,8.953749,5.473,4.572621
GRB140430716,9.417695,7.003716,8.889943,6.6054153,5.993585
GRB140501497,9.783037,5.42198,9.843017,5.2999444,4.9592686
GRB140502354,9.652939,5.1299148,9.779237,5.202977,4.6778874
GRB140506880,7.21148,7.7751336,7.4198003,7.7786593,3.5445778
GRB140508128,10.517596,5.6995425,9.008075,4.847542,6.0234346
GRB140508179,9.786923,2.227224,9.720373,2.7726884,3.4871974
GRB140508629,9.998253,3.1461205,9.684573,3.6006327,4.1254177
GRB140511095,2.8058677,4.0335093,3.0227358,4.236886,4.5031886
GRB140511995,8.143763,3.5053723,8.739126,3.9390337,3.2241104
GRB140512814,9.069008,2.2116575,9.045001,2.6234212,4.0206738
GRB140513724,9.395403,6.6127086,8.859739,6.1938305,5.6418953
GRB140516700,9.089341,3.7706327,9.786952,4.0407043,3.4998202
GRB140516765,10.396047,3.9418702,9.427525,3.5862367,5.1444807
GRB140517813,9.604606,5.7676897,9.645288,5.6928806,5.0792327
GRB140518709,6.066,6.4213963,6.112434,6.551213,2.9574175
GRB140519043,9.331132,5.529206,9.622407,5.596143,4.6560316
GRB140521184,9.7494135,2.7163186,9.886681,3.3792844,3.5695035
GRB140521732,7.5515428,7.4146957,7.7779527,7.4781265,3.7789943
GRB140523129,10.452154,6.13315,8.9003525,5.1361165,6.168299
GRB140526449,8.338548,3.7007468,8.736689,3.8845754,3.607446
GRB140526571,3.4104035,3.9631324,3.3188102,3.9381762,4.7312584
GRB140528837,8.476954,2.645255,8.744366,2.63823,4.4107556
GRB140603476,8.510635,4.1069093,8.445144,3.9842916,4.1727796
GRB140605377,2.782488,3.9946048,2.9989061,4.2106137,4.529695
GRB140606133,8.8044195,7.772182,8.697679,7.5046997,6.0019245
GRB140608153,8.761107,2.5889502,9.073259,3.135885,3.1454482
GRB140608713,7.5654826,7.759364,7.7108636,7.7570457,3.788548
GRB140610487,5.27919,6.029827,5.4430776,6.235029,2.8796494
GRB140610548,8.738751,2.7035646,9.32334,3.1600108,2.8862462
GRB140610689,8.810278,3.7854676,9.004452,3.7691045,3.905069
GRB140612294,9.592583,2.7844143,9.3860655,3.1753957,3.9520638
GRB140616165,7.3970675,5.486114,7.721658,5.5853853,4.1628404
GRB140619475,6.24706,7.3832746,6.4837418,7.3950434,2.7800262
GRB140619490,3.310821,3.9195669,3.2643716,3.9434352,4.742702
GRB140620219,9.390998,1.9717203,9.266562,2.4754226,3.9746087
GRB140621827,6.1819863,7.1726637,6.3407,7.2031975,2.7783828
GRB140623224,8.340183,6.024771,8.655056,6.1836724,4.3633733
GRB140624423,2.6535316,3.0032763,2.0548525,1.9937474,7.466238
GRB140626843,7.01214,7.380592,7.385743,7.408215,3.3952107
GRB140627401,8.033095,6.0542583,8.220227,6.1499176,4.517309
GRB140628626,8.598863,5.9595227,9.1344385,6.20639,4.241803
GRB140630505,8.836808,2.9652445,9.117422,3.5152178,3.3171065
GRB140701567,9.204932,5.4325376,9.650152,5.568567,4.504856
GRB140701833,10.333895,4.102114,9.233554,3.7054877,5.375048
GRB140703026,9.252077,1.9792506,9.26464,2.4585314,3.6142466
GRB140705539,10.296502,4.7350054,9.705575,4.4447775,5.1316557
GRB140706815,8.879063,4.8549433,8.92851,5.107729,4.536229
GRB140709051,7.750566,3.258023,8.7735195,3.7011354,2.7317948
GRB140709637,7.584479,6.489371,8.220858,6.6864467,3.7899468
GRB140710537,5.408636,5.5339713,5.7401514,5.581606,3.4357436
GRB140710901,8.871039,5.4665728,9.346717,5.6284194,4.319194
GRB140712706,9.076461,4.260131,9.825593,4.3835235,3.8383756
GRB140712973,9.487054,2.2117198,9.47867,2.6281035,3.7599022
GRB140713780,7.5581555,6.9926453,8.006848,7.110212,3.9107516
GRB140714268,9.375366,4.4594812,9.43658,4.449232,4.3791633
GRB140715231,10.310245,3.1060936,9.742614,3.2015789,4.468149
GRB140716306,7.1431184,6.9340987,7.655418,7.0303626,3.5580454
GRB140716436,7.378051,7.785659,7.578889,7.766917,3.613013
GRB140717827,9.708975,3.474076,9.914591,3.828789,3.9451606
GRB140720158,2.5813751,3.010264,2.0519195,2.0014772,7.459473
GRB140720280,10.349954,4.9064527,9.692892,4.591655,5.316934
GRB140721336,8.585253,3.275099,8.912488,3.449845,3.5630305
GRB140723067,9.016493,4.551533,9.473172,4.797882,4.122922
GRB140723499,8.294979,3.880395,8.883453,4.295178,3.414999
GRB140724533,5.151317,5.927703,5.324744,6.187953,2.9242766
GRB140725583,8.757537,6.278775,8.682751,6.0577917,4.9176903
GRB140727748,8.941816,5.403096,9.553656,5.6936245,4.2250705
GRB140729026,10.261459,5.5468225,9.49706,5.07245,5.6735997
GRB140801792,9.203021,7.522241,8.836277,7.2096887,6.321646
GRB140807500,4.8290467,6.4966335,5.02419,6.6459227,2.175412
GRB140808038,8.501765,7.9075556,8.569332,7.687991,5.8429494
GRB140809133,8.36422,5.3742247,8.9970255,5.6914735,3.9559429
GRB140810782,9.266196,3.4328272,8.690647,3.1325028,4.544064
GRB140817229,10.158854,5.3759103,9.561946,5.05656,5.3959494
GRB140817293,10.478269,4.3729053,9.427884,3.9184942,5.4179945
GRB140818229,9.188748,5.289288,8.919085,5.219023,4.851261
GRB140818781,10.293012,4.931771,9.724476,4.636554,5.26787
GRB140819160,4.0808477,4.9284706,4.212882,5.0609517,3.737012
GRB140821997,8.074787,3.5262668,8.665459,3.9744172,3.241131
GRB140824548,8.188818,7.310009,8.2778,7.169814,4.6767726
GRB140824606,9.473152,5.136082,9.08179,4.9311147,4.9872584
GRB140825328,8.716179,3.7567327,8.901924,3.8876984,3.8519151
GRB140827763,10.142634,6.653126,9.020107,5.8449388,6.294674
GRB140828288,10.285187,3.4897244,9.431544,3.1664324,4.884505
GRB140829880,9.598569,2.0429776,9.466807,2.5650556,3.4918323
GRB140831215,5.059311,5.383398,5.3013525,5.4818077,3.3678486
GRB140831374,7.3373294,7.4364924,7.632786,7.4861703,3.690904
GRB140901262,9.267485,5.1198883,9.491303,5.180558,4.5453715
GRB140901821,4.5723114,6.184544,4.8231964,6.405545,2.3492334
GRB140905454,8.099369,3.4527159,8.470606,3.6627054,3.5228114
GRB140906175,9.121876,4.742061,9.179416,4.819684,4.3983226
GRB140906429,7.8301864,3.0190508,8.756823,3.484505,2.7460344
GRB140907429,9.106675,5.357709,9.568542,5.578188,4.370204
GRB140907672,9.459801,1.9650134,9.412629,2.4582076,3.7701101
GRB140911012,9.247356,2.8082123,9.68133,3.428211,3.171708
GRB140916234,9.842711,5.947702,9.1517515,5.568593,5.5159655
GRB140917512,10.494759,4.497283,9.819467,4.2563753,5.179943
GRB140918379,8.220287,5.3779206,8.529768,5.575045,4.273421
GRB140919636,9.351993,3.1633508,9.030418,3.2423737,4.156021
GRB140928100,10.378944,6.0911126,8.996364,5.245898,6.090566
GRB140928437,9.699375,3.2100124,8.918601,2.717381,4.6129155
GRB140929677,8.437697,5.1788745,9.29411,5.4680634,3.8276727
GRB140930134,7.4151273,7.3320146,7.7453117,7.3807144,3.7916057
GRB141003564,9.039031,7.2136497,8.811281,6.9766197,5.833795
GRB141003788,9.01977,6.321335,8.879349,6.1525226,5.0515475
GRB141004150,9.822247,6.400961,8.91155,5.832759,5.8181443
GRB141004973,7.4109807,7.8252225,7.591613,7.8228908,3.6704113
GRB141005217,8.4846,7.7213736,8.547504,7.5131264,5.77346
GRB141005535,7.319975,6.068593,7.9773784,6.1987205,3.7016273
GRB141011282,2.6052024,3.365226,2.6781824,3.3901937,5.522803
GRB141011467,8.918836,7.3808956,8.815155,7.1749134,5.855838
